image_path,mode,grid_x,grid_y,uid
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x0_y0_id4140398b.jpg,BANK,0,0,4140398b
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x0_y0_idd525fc7b.jpg,BANK,0,0,d525fc7b
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x0_y0_ide938d2bd.jpg,BANK,0,0,e938d2bd
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x0_y1_id524bc9d4.jpg,BANK,0,1,524bc9d4
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x0_y1_id94160a33.jpg,BANK,0,1,94160a33
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x0_y1_idbe12f56f.jpg,BANK,0,1,be12f56f
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x0_y2_id143cb9fb.jpg,BANK,0,2,143cb9fb
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x0_y2_id8ece7d3c.jpg,BANK,0,2,8ece7d3c
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x0_y2_ida8cdb826.jpg,BANK,0,2,a8cdb826
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x1_y0_id135ef6e5.jpg,BANK,1,0,135ef6e5
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x1_y0_idd7f104fc.jpg,BANK,1,0,d7f104fc
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x1_y0_ide535a2b4.jpg,BANK,1,0,e535a2b4
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x1_y1_id95f893b0.jpg,BANK,1,1,95f893b0
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x1_y1_idbf9ea838.jpg,BANK,1,1,bf9ea838
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x1_y1_ide3889e2a.jpg,BANK,1,1,e3889e2a
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x1_y2_id1a707d35.jpg,BANK,1,2,1a707d35
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x1_y2_id415c9d44.jpg,BANK,1,2,415c9d44
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x1_y2_id81b61f8d.jpg,BANK,1,2,81b61f8d
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x2_y0_id086863b6.jpg,BANK,2,0,086863b6
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x2_y0_id4f8a17fd.jpg,BANK,2,0,4f8a17fd
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x2_y0_id52178df0.jpg,BANK,2,0,52178df0
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x2_y1_id41d22c47.jpg,BANK,2,1,41d22c47
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x2_y1_ida31f020e.jpg,BANK,2,1,a31f020e
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x2_y1_idfab89cf0.jpg,BANK,2,1,fab89cf0
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x2_y2_id35f52928.jpg,BANK,2,2,35f52928
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x2_y2_id498e40a2.jpg,BANK,2,2,498e40a2
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/BANK/BANK_x2_y2_idca239844.jpg,BANK,2,2,ca239844
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x0_y0_id4fe71d02.jpg,QUERY,0,0,4fe71d02
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x0_y0_id8900e36e.jpg,QUERY,0,0,8900e36e
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x0_y1_ide20ac2c0.jpg,QUERY,0,1,e20ac2c0
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x0_y1_idfb173f1c.jpg,QUERY,0,1,fb173f1c
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x0_y2_id9fc4a95b.jpg,QUERY,0,2,9fc4a95b
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x0_y2_idb2847530.jpg,QUERY,0,2,b2847530
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x1_y0_id354b9e2f.jpg,QUERY,1,0,354b9e2f
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x1_y0_id807bed48.jpg,QUERY,1,0,807bed48
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x1_y1_id6f9af608.jpg,QUERY,1,1,6f9af608
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x1_y1_id7f58cfd0.jpg,QUERY,1,1,7f58cfd0
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x1_y2_id7ad1e4ab.jpg,QUERY,1,2,7ad1e4ab
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x1_y2_id8cbc5dca.jpg,QUERY,1,2,8cbc5dca
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x2_y0_id1cc90c6b.jpg,QUERY,2,0,1cc90c6b
/home/choisuhyun/scene_ad_for_patrol_robot/sentrynexcontrol/experiment/grid_data/QUERY/QUERY_x2_y0_idc3a28334.jpg,QUERY,2,0,c3a28334
